param C: T S MC M L C A:=
KC 1.79 2.13 1.76 2.34 1.86 1.90 1.82 
SA 2.13 2.03 1.58 1.80 2.14 1.26 1.76
AU 1.86 1.18 1.5 0.91 1.98 1.54 1.74
BI 1.34 1.6 1.29 1.52 1.47 1.37 1.02
FR 1.52 1.65 1.54 1.73 1.37 1.59 1.42 
MU 1.67 1.21 1.56 1.38 1.44 1.61 1.57
SI 1.71 1.44 1.72 1.43 1.88 1.5 1.73; 


param cap:=
KC 60000
SA 60000
AU 15000
BI 15000
FR 20000
MU 25000
SI 20000;



param demand:=
T 5000
S 50000
#S 20000
#S 70000
#S 90000
MC 4000
M 6000
L 40000
C 10000
A 60000;

param fixed:=
KC 0
SA 0
AU 917000
BI 962000
FR 1093000
MU 959000
SI 1058000;

param extCap:=
KC 50000
SA 50000
AU 0
BI 0
FR 0
MU 0
SI 0;

param expan:=
KC 2590000
SA 2061000
AU 0
BI 0
FR 0
MU 0
SI 0;
